file	type	role
Visualisation/map_paris_features.py	code	Main script that loads all layers and generates the final HTML map.
Visualisation/requirements.txt	config	Python dependencies required to run the visualization script.
Bruit/dvf752018Bruit.csv	annual data	DVF points enriched with noise values used for the noise heatmap.
Crime/dvf752018Crime.csv	annual data	DVF points enriched with crime values used for the crime heatmap.
Lycees/dvf752018Lycees.csv	annual data	Points used for the high school layer.
Gares/dvf752018Gares.csv	annual data	Points and traffic indicators used for station layers.
DPE/dvf752018Dpe.csv	annual data	DPE values merged with DVF coordinates to build the DPE layer.
Centre/dvf752018Centre.csv	annual data	Distance-to-centre values used for optional zonal intensity layers.
Quartiers/dvf752018Quartier.csv	annual data	Quartier/arrondissement identifiers used for zonal aggregations.
Carreaux/resultats/dvf752018Carreaux_indicateurs.csv	annual data	Grid-cell coordinates and indicators used for density/poverty layers and DPE merge.
DVFGEO/2018/75/dvf201875_prepare.csv	annual data	Prepared DVF base used for mean price per m2 and transaction points.
Quartiers/quartier_paris/quartier_paris.shp	shapefile	Quartier geometries used for boundary overlays and arrondissement aggregation.
Quartiers/quartier_paris/quartier_paris.dbf	shapefile sidecar	Attribute table associated with the quartier shapefile.
Quartiers/quartier_paris/quartier_paris.shx	shapefile sidecar	Spatial index associated with the quartier shapefile.
Quartiers/quartier_paris/quartier_paris.prj	shapefile sidecar	Projection definition associated with the quartier shapefile.
Quartiers/quartier_paris/quartier_paris.cpg	shapefile sidecar	Encoding definition associated with the quartier shapefile.
Carreaux/data/carreaux_200m_met.shp	shapefile	INSEE 200m grid geometries used for carreaux layers.
Carreaux/data/carreaux_200m_met.dbf	shapefile sidecar	Attribute table associated with the carreaux shapefile.
Carreaux/data/carreaux_200m_met.shx	shapefile sidecar	Spatial index associated with the carreaux shapefile.
Carreaux/data/carreaux_200m_met.prj	shapefile sidecar	Projection definition associated with the carreaux shapefile.
kebabs_paris_with_coords_lambert93 (1).csv	static data	Geocoded kebab points displayed as a dedicated point layer.
Visualisation/resultats/paris_carte_features_2018.html	output	HTML output generated by the script for year 2018.
